timesteps,rewards
100,-500.0
200,-500.0
300,-500.0
400,-500.0
500,-500.0
600,-500.0
700,-500.0
800,-500.0
900,-500.0
1000,-500.0
1100,-500.0
1200,-500.0
1300,-500.0
1400,-500.0
1500,-500.0
1600,-500.0
1700,-500.0
1800,-500.0
1900,-500.0
2000,-500.0
2100,-500.0
2200,-500.0
2300,-500.0
2400,-500.0
2500,-500.0
2600,-500.0
2700,-500.0
2800,-500.0
2900,-500.0
3000,-500.0
3100,-500.0
3200,-500.0
3300,-500.0
3400,-500.0
3500,-500.0
3600,-500.0
3700,-500.0
3800,-500.0
3900,-500.0
4000,-500.0
4100,-135.4
4200,-170.8
4300,-134.0
4400,-157.0
4500,-154.6
4600,-147.4
4700,-156.0
4800,-192.0
4900,-149.8
5000,-227.6
5100,-150.2
5200,-146.4
5300,-174.6
5400,-147.6
5500,-163.8
5600,-147.0
5700,-156.0
5800,-147.6
5900,-210.8
6000,-227.0
6100,-160.0
6200,-101.2
6300,-102.2
6400,-140.4
6500,-111.6
6600,-93.6
6700,-115.6
6800,-105.2
6900,-97.6
7000,-109.2
7100,-124.8
7200,-102.0
7300,-97.8
7400,-98.2
7500,-101.0
7600,-99.4
7700,-98.8
7800,-108.4
7900,-130.8
8000,-101.0
8100,-115.2
8200,-98.6
8300,-103.6
8400,-85.2
8500,-91.8
8600,-84.2
8700,-80.2
8800,-86.6
8900,-98.8
9000,-88.0
9100,-91.2
9200,-79.6
9300,-87.8
9400,-86.0
9500,-102.4
9600,-90.0
9700,-96.2
9800,-87.2
9900,-83.2
10000,-88.4
10100,-78.6
10200,-102.2
10300,-97.4
10400,-112.0
10500,-90.0
10600,-103.0
10700,-118.2
10800,-94.4
10900,-87.4
11000,-92.0
11100,-100.8
11200,-105.8
11300,-105.6
11400,-89.2
11500,-98.2
11600,-100.8
11700,-103.0
11800,-95.8
11900,-100.0
12000,-96.2
12100,-92.2
12200,-93.4
12300,-99.4
12400,-88.8
12500,-99.0
12600,-87.0
12700,-96.4
12800,-102.4
12900,-91.6
13000,-95.4
13100,-88.8
13200,-93.8
13300,-97.2
13400,-106.8
13500,-86.6
13600,-84.6
13700,-106.6
13800,-91.2
13900,-91.4
14000,-93.6
14100,-111.8
14200,-92.6
14300,-89.8
14400,-125.8
14500,-105.0
14600,-106.2
14700,-110.0
14800,-95.2
14900,-106.6
15000,-95.8
15100,-106.2
15200,-108.0
15300,-112.2
15400,-103.4
15500,-103.8
15600,-112.8
15700,-140.6
15800,-107.2
15900,-99.0
16000,-106.2
16100,-119.4
16200,-111.2
16300,-102.0
16400,-113.4
16500,-113.0
16600,-103.0
16700,-99.6
16800,-116.6
16900,-175.6
17000,-116.6
17100,-104.2
17200,-199.8
17300,-101.0
17400,-96.6
17500,-104.4
17600,-119.0
17700,-107.6
17800,-121.8
17900,-110.2
18000,-99.2
18100,-117.4
18200,-159.6
18300,-123.0
18400,-104.4
18500,-198.8
18600,-500.0
18700,-416.8
18800,-344.6
18900,-345.0
19000,-425.2
19100,-187.0
19200,-422.4
19300,-336.8
19400,-420.6
19500,-500.0
19600,-342.4
19700,-500.0
19800,-256.6
19900,-175.8
20000,-262.4
20100,-416.6
20200,-340.2
20300,-350.0
20400,-344.0
20500,-103.6
20600,-114.0
20700,-88.2
20800,-95.4
20900,-179.8
21000,-116.4
21100,-95.2
