timesteps,rewards
100,-0.2769504757307004
200,-0.07830156902491581
300,-0.007024642799296999
400,-0.07979317326098681
500,-0.0505190074640268
600,-0.0003634485398620768
700,-0.01841762079129694
800,-0.003159396746434595
900,-0.002293118747249966
1000,-0.4472075382596813
1100,-0.06694403201618115
1200,-0.014395184144450467
1300,-0.034165434628448565
1400,-0.013218199942093634
1500,-0.11069156853918685
1600,-0.1551957483025035
1700,-0.010205204659723677
1800,-0.05497739847196499
1900,-0.036009636794187824
2000,-0.002719918439385083
2100,-0.05724017850443488
2200,-0.007894491528713844
2300,-0.09483060198108433
2400,-0.038569463560997976
2500,-0.018369217882627707
2600,-0.0037961028133395303
2700,-0.020401497842249226
2800,-0.003499240840847051
2900,-0.021556788009911544
3000,-0.07088159965569503
3100,-0.13595560593530537
3200,-0.00015224368918963574
3300,-0.003084847059335516
3400,-0.04048896778986091
3500,-0.0030421627022406026
3600,-0.1469817828910891
3700,-0.0021585125233286816
3800,-0.027862414365881705
3900,-0.0026434305933889846
4000,-0.019497982774555566
4100,-0.00278641687000345
4200,-0.01964071870461339
4300,-0.03335976045054849
4400,-0.018541604486381404
4500,-0.0004982104121893371
4600,-0.010912073825784319
4700,-0.07912522847036599
4800,-0.002181858459817931
4900,-0.0037367010739671968
5000,-0.0009309053411527656
5100,-0.0009724110069200265
5200,-0.0020548118758824787
5300,-0.035906681697815655
5400,-0.00802448304484642
5500,-0.14179725550347938
5600,-0.013492262690670031
5700,-0.03204107919700618
5800,-0.005922871632446913
5900,-0.033079772225755734
6000,-0.031056778993297486
6100,-6.00746044153444e-05
6200,-0.008241384343182289
6300,-0.02852619672084984
6400,-0.050817334435123485
6500,-2.9130712575283173e-05
6600,-0.01989860981120728
6700,-0.028311922510329168
6800,-0.0003440366910550588
6900,-0.062244658184499715
7000,-0.07558375192456879
7100,-0.027180506703734862
7200,-0.011880653821754095
7300,-0.010399698675973923
7400,-0.03385604980576318
7500,-0.054400677460216686
7600,-0.022250930167501792
7700,-0.03005952059647825
7800,-0.03265549906282104
7900,-0.008523293422149436
8000,-0.04244243867506157
8100,-0.021629334135650425
8200,-0.0003474539393550913
8300,-0.008779563387179223
8400,-0.0031153723486568195
8500,-0.029139231801309506
8600,-0.020256557838365552
8700,-0.002916481690817818
8800,-0.002753577393832529
8900,-0.00012926778611856797
9000,-0.03990663902804954
9100,-0.00018133634462600413
9200,-0.004200616790831191
9300,-0.001159438492470599
9400,-0.005408711919244524
9500,-0.002906157002962573
9600,-0.0023199744965495483
9700,-0.07506109435053077
9800,-1.6360655418435243e-05
9900,-0.0007176963582139706
10000,-0.0019265960104121404
10100,-1.0615007515291098e-05
10200,-0.004709299598926009
10300,-0.029744745188872913
10400,-0.0010483982171990646
10500,-9.431604669885019e-05
10600,-0.01216597446873493
10700,-0.0008806100468632394
10800,-0.0025478821818069263
10900,-0.005900726621894137
11000,-7.006958055027759e-05
11100,-0.012064681858828408
11200,-8.873111544147605e-05
11300,-0.0026883610226832388
11400,-0.0012644157524391631
11500,-0.017413834073522594
11600,-0.01484246672480367
11700,-0.01473538807076693
11800,-0.009783022578267265
11900,-0.028533931185666005
12000,-0.018983673427283066
12100,-0.03454249082460592
12200,-0.0024188222491602573
12300,-0.01408405050951842
12400,-0.0325350702576543
12500,-0.0025328339570251045
12600,-0.025024431793644906
12700,-0.002546656308686579
12800,-0.0024467872990499018
