timesteps,rewards
2673,41.765625
5961,51.375
9090,48.890625
12403,51.765625
15102,42.171875
17825,42.546875
20791,46.34375
24082,51.421875
27081,46.859375
30107,47.28125
33461,52.40625
36553,48.3125
39483,45.78125
42667,49.75
45987,51.875
49225,50.59375
50052,12.921875
