timesteps,rewards
118,118.0
368,250.0
1071,703.0
1690,619.0
2067,377.0
2198,131.0
2467,269.0
2609,142.0
2885,276.0
3670,785.0
3928,258.0
4169,241.0
4569,400.0
4810,241.0
5047,237.0
5471,424.0
5577,106.0
6197,620.0
6479,282.0
6661,182.0
7018,357.0
8698,1680.0
8958,260.0
9681,723.0
10068,387.0
10225,157.0
10356,131.0
10706,350.0
11072,366.0
11429,357.0
11935,506.0
12184,249.0
12703,519.0
12863,160.0
13126,263.0
13482,356.0
13881,399.0
14154,273.0
14442,288.0
14674,232.0
14859,185.0
15265,406.0
15763,498.0
15939,176.0
16315,376.0
16586,271.0
17355,769.0
18017,662.0
18268,251.0
18666,398.0
19665,999.0
19950,285.0
20420,470.0
21300,880.0
21685,385.0
24085,2400.0
24461,376.0
25274,813.0
25751,477.0
25984,233.0
26597,613.0
27263,666.0
27596,333.0
27912,316.0
28353,441.0
28654,301.0
28914,260.0
29349,435.0
29828,479.0
30049,221.0
30237,188.0
30473,236.0
30736,263.0
30993,257.0
31314,321.0
31570,256.0
31804,234.0
32204,400.0
32425,221.0
32602,177.0
32798,196.0
33083,285.0
33317,234.0
33579,262.0
33727,148.0
34028,301.0
34418,390.0
34599,181.0
34800,201.0
35183,383.0
35486,303.0
35722,236.0
35947,225.0
36137,190.0
36339,202.0
36620,281.0
36801,181.0
36875,74.0
37108,233.0
37386,278.0
37682,296.0
37903,221.0
38275,372.0
38488,213.0
38717,229.0
38972,255.0
39182,210.0
39437,255.0
39850,413.0
40230,380.0
40512,282.0
40713,201.0
41122,409.0
41618,496.0
42011,393.0
42139,128.0
42319,180.0
42653,334.0
42909,256.0
43326,417.0
43707,381.0
43842,135.0
44422,580.0
45196,774.0
45758,562.0
46665,907.0
47392,727.0
47729,337.0
48602,873.0
50000,1398.0
