timesteps,rewards
100,-500.0
200,-500.0
300,-500.0
400,-500.0
500,-500.0
600,-500.0
700,-500.0
800,-500.0
900,-500.0
1000,-500.0
1100,-500.0
1200,-500.0
1300,-500.0
1400,-500.0
1500,-500.0
1600,-500.0
1700,-500.0
1800,-500.0
1900,-500.0
2000,-500.0
2100,-212.2
2200,-232.0
2300,-209.2
2400,-241.0
2500,-219.8
2600,-239.2
2700,-223.6
2800,-212.0
2900,-266.8
3000,-218.6
3100,-211.2
3200,-202.2
3300,-213.4
3400,-232.4
3500,-232.4
3600,-216.4
3700,-212.2
3800,-212.8
3900,-219.4
4000,-222.6
4100,-362.2
4200,-351.4
4300,-324.6
4400,-425.8
4500,-400.0
4600,-295.6
4700,-352.2
4800,-376.4
4900,-316.6
5000,-368.2
5100,-293.0
5200,-334.4
5300,-343.6
5400,-378.0
5500,-345.6
5600,-389.4
5700,-395.6
5800,-329.6
5900,-312.4
6000,-391.6
6100,-358.6
6200,-255.4
6300,-229.0
6400,-234.4
6500,-244.0
6600,-256.8
6700,-260.8
6800,-266.8
6900,-242.4
7000,-254.4
7100,-250.8
7200,-253.8
7300,-313.4
7400,-262.2
7500,-278.6
7600,-258.0
7700,-288.4
7800,-245.8
7900,-246.8
8000,-243.2
8100,-246.8
8200,-230.6
8300,-334.6
8400,-224.2
8500,-306.4
8600,-218.6
8700,-241.2
8800,-207.4
8900,-214.8
9000,-216.6
9100,-212.6
9200,-214.0
9300,-206.0
9400,-216.4
9500,-200.8
9600,-220.6
9700,-210.4
9800,-236.6
9900,-226.6
10000,-225.4
10100,-247.6
10200,-200.8
10300,-234.2
10400,-229.0
10500,-201.0
10600,-176.2
10700,-210.4
10800,-202.0
10900,-190.8
11000,-258.6
11100,-228.8
11200,-201.4
11300,-195.2
11400,-307.6
11500,-189.4
11600,-223.6
11700,-209.2
11800,-201.0
11900,-233.8
12000,-196.2
12100,-191.8
12200,-208.8
12300,-127.8
12400,-135.2
12500,-148.0
12600,-142.6
12700,-135.4
12800,-147.8
12900,-160.8
13000,-135.8
13100,-153.2
13200,-127.0
13300,-142.0
13400,-127.6
13500,-156.0
13600,-151.0
13700,-168.4
13800,-138.2
13900,-181.2
14000,-205.2
14100,-140.4
14200,-133.2
14300,-142.2
14400,-131.6
14500,-138.2
14600,-136.0
14700,-159.0
14800,-166.0
14900,-176.6
15000,-141.6
15100,-167.8
15200,-127.6
15300,-202.4
15400,-156.8
15500,-160.4
15600,-174.8
15700,-143.2
15800,-157.0
15900,-139.4
16000,-179.6
16100,-132.6
16200,-144.0
16300,-145.8
16400,-168.8
16500,-154.6
16600,-148.6
16700,-140.8
16800,-148.2
16900,-141.8
17000,-154.2
17100,-144.6
17200,-146.2
17300,-151.8
17400,-136.4
17500,-122.4
17600,-153.2
17700,-133.2
17800,-141.2
17900,-147.4
18000,-140.8
18100,-130.4
18200,-142.8
18300,-131.4
18400,-135.0
18500,-124.0
18600,-124.4
18700,-151.6
18800,-124.4
18900,-116.6
19000,-135.0
19100,-117.2
19200,-111.4
19300,-141.2
19400,-116.6
19500,-124.2
19600,-121.4
19700,-122.8
19800,-136.2
19900,-126.0
20000,-122.4
20100,-117.0
20200,-117.0
20300,-113.0
20400,-115.2
20500,-117.2
20600,-116.4
20700,-122.8
20800,-110.2
20900,-113.2
21000,-108.2
21100,-119.2
