timesteps,rewards
100,-1636.4
200,-920.0
300,-916.4
400,-558.2
500,-920.0
600,-1640.0
700,-1274.6
800,-1278.2
900,-1272.8
1000,-920.0
1100,-918.2
1200,-918.2
1300,-1992.8
1400,-916.4
1500,-1636.4
1600,-1640.0
1700,-1271.0
1800,-920.0
1900,-920.0
2000,-560.0
