timesteps,rewards
120,120.0
308,188.0
554,246.0
1095,541.0
1389,294.0
1632,243.0
2023,391.0
2173,150.0
2383,210.0
2544,161.0
3619,1075.0
3826,207.0
4304,478.0
4423,119.0
4757,334.0
4950,193.0
5438,488.0
6003,565.0
6341,338.0
6596,255.0
6809,213.0
7918,1109.0
8370,452.0
8775,405.0
9341,566.0
9654,313.0
10030,376.0
10208,178.0
10351,143.0
11125,774.0
11854,729.0
12445,591.0
12703,258.0
12935,232.0
14464,1529.0
14701,237.0
15241,540.0
15342,101.0
15903,561.0
16262,359.0
16638,376.0
16756,118.0
17570,814.0
17973,403.0
18129,156.0
18538,409.0
18769,231.0
19326,557.0
19627,301.0
20079,452.0
20314,235.0
20764,450.0
21021,257.0
21300,279.0
21637,337.0
21890,253.0
22290,400.0
22864,574.0
23339,475.0
23867,528.0
24325,458.0
24781,456.0
25773,992.0
26198,425.0
27819,1621.0
28031,212.0
28556,525.0
29077,521.0
29344,267.0
29773,429.0
30178,405.0
31100,922.0
31460,360.0
33045,1585.0
33482,437.0
33728,246.0
34295,567.0
35737,1442.0
36274,537.0
36438,164.0
36869,431.0
37898,1029.0
38425,527.0
38863,438.0
39594,731.0
40404,810.0
40977,573.0
41322,345.0
42284,962.0
42466,182.0
43909,1443.0
44198,289.0
44477,279.0
44890,413.0
45429,539.0
45678,249.0
46382,704.0
46590,208.0
46868,278.0
47502,634.0
47623,121.0
48275,652.0
48595,320.0
49099,504.0
49549,450.0
49677,128.0
50000,323.0
