timesteps,rewards
406,-405.0
660,-253.0
1125,-464.0
1527,-401.0
1865,-337.0
2240,-374.0
2521,-280.0
2974,-452.0
3148,-173.0
3490,-341.0
3877,-386.0
4249,-371.0
4475,-225.0
4827,-351.0
5475,-647.0
5904,-428.0
6185,-280.0
6419,-233.0
6720,-300.0
7085,-364.0
7357,-271.0
7609,-251.0
7961,-351.0
8137,-175.0
8439,-301.0
8884,-444.0
9176,-291.0
9484,-307.0
9772,-287.0
10171,-398.0
10551,-379.0
10952,-400.0
11206,-253.0
11550,-343.0
11834,-283.0
12237,-402.0
12540,-302.0
12839,-298.0
13120,-280.0
13450,-329.0
13844,-393.0
14087,-242.0
14547,-459.0
14911,-363.0
15271,-359.0
15542,-270.0
15938,-395.0
16272,-333.0
16574,-301.0
16938,-363.0
17281,-342.0
17570,-288.0
17888,-317.0
18192,-303.0
18421,-228.0
18675,-253.0
18962,-286.0
19284,-321.0
19539,-254.0
19773,-233.0
20146,-372.0
20523,-376.0
20912,-388.0
21152,-239.0
21341,-188.0
21566,-224.0
21869,-302.0
22083,-213.0
22269,-185.0
22483,-213.0
22738,-254.0
23040,-301.0
23261,-220.0
23538,-276.0
23780,-241.0
24101,-320.0
24298,-196.0
24605,-306.0
24786,-180.0
25001,-214.0
25322,-320.0
25603,-280.0
25853,-249.0
26114,-260.0
26382,-267.0
26620,-237.0
27039,-418.0
27447,-407.0
27724,-276.0
28060,-335.0
28315,-254.0
28595,-279.0
28789,-193.0
29057,-267.0
29377,-319.0
29643,-265.0
29886,-242.0
30258,-371.0
30552,-293.0
30841,-288.0
30996,-154.0
31293,-296.0
31764,-470.0
31956,-191.0
32306,-349.0
32547,-240.0
32864,-316.0
33070,-205.0
33266,-195.0
33607,-340.0
33856,-248.0
34162,-305.0
34384,-221.0
34645,-260.0
34920,-274.0
35279,-358.0
35618,-338.0
35946,-327.0
36317,-370.0
36647,-329.0
36985,-337.0
37230,-244.0
37435,-204.0
37682,-246.0
37854,-171.0
38042,-187.0
38221,-178.0
38425,-203.0
38760,-334.0
39033,-272.0
39330,-296.0
39527,-196.0
39769,-241.0
39951,-181.0
40147,-195.0
40420,-272.0
40615,-194.0
40874,-258.0
41143,-268.0
41355,-211.0
41564,-208.0
41807,-242.0
42119,-311.0
42406,-286.0
42645,-238.0
42840,-194.0
43082,-241.0
43287,-204.0
43558,-270.0
43836,-277.0
44137,-300.0
44326,-188.0
44616,-289.0
45011,-394.0
45181,-169.0
45420,-238.0
45590,-169.0
45774,-183.0
46074,-299.0
46353,-278.0
46729,-375.0
46975,-245.0
47231,-255.0
47455,-223.0
47755,-299.0
47956,-200.0
48283,-326.0
48526,-242.0
48767,-240.0
48996,-228.0
49261,-264.0
49511,-249.0
49727,-215.0
50000,-273.0
