timesteps,rewards
100,-1375.61653540954
200,-1621.8755163976923
300,-1709.0788973144104
400,-1588.119831963256
500,-1768.8582964420318
600,-1721.4075013637544
700,-1642.5748806238175
800,-1593.0272651314735
900,-1467.5743279248477
1000,-1371.1628682136536
1100,-1396.6112116530537
1200,-1476.0142217218877
1300,-1414.4659289635717
1400,-1347.1475408870726
1500,-1443.950480413437
1600,-1493.935730934143
1700,-1335.7335551977158
1800,-1186.686382021755
1900,-1176.2967048168182
2000,-1246.915319539886
2100,-1186.9140966951848
2200,-958.821004229039
2300,-1181.2075122356414
2400,-1164.9430827215315
2500,-1169.0445279359817
2600,-977.4260634422302
2700,-1108.3405003547668
2800,-1109.1686498045922
2900,-646.6476500284494
3000,-653.8931512663315
3100,-878.2790361532941
3200,-816.5620397771302
3300,-732.4755429254495
3400,-1090.7823541879654
3500,-940.0720284581184
3600,-581.1448657922447
3700,-704.4315268972889
3800,-698.0931548489258
3900,-985.9025914907455
4000,-1069.1380539298057
4100,-898.053847950697
4200,-321.8626908540726
4300,-761.8402259975671
4400,-716.3150639742613
4500,-888.2096416652203
4600,-914.1149009883404
4700,-783.285889686644
4800,-788.5946567321196
4900,-674.9293455332518
5000,-723.8015297589358
5100,-715.4682187527418
5200,-859.6799131937325
5300,-523.6429771699011
5400,-670.4347386624664
5500,-660.5894840106369
5600,-1003.969154816866
5700,-587.5797529131174
5800,-322.1147557795048
5900,-349.4993760883808
6000,-269.36844138503074
6100,-318.1097131878138
6200,-121.28012986034155
6300,-224.41766206994652
6400,-263.4599860108923
6500,-276.14348433464767
6600,-143.2031679013744
6700,-422.2243034645915
6800,-333.5386316306889
6900,-496.1840075090528
7000,-216.42673726677896
7100,-165.3786964546889
7200,-136.64280607700348
7300,-443.82562376856805
7400,-327.9830898076296
7500,-398.2699358696118
7600,-280.2157964348793
7700,-332.20700329151003
7800,-1003.3744811307639
7900,-304.2746419655159
8000,-708.1414683148265
8100,-334.2292233509943
8200,-623.604743665969
8300,-567.6127516117879
8400,-867.2492079391144
8500,-627.8415077880024
8600,-428.7443168699741
8700,-338.3225476041436
8800,-238.5798771366477
8900,-574.4925156650133
9000,-712.1816186656245
9100,-238.2153396382928
9200,-159.92139014005662
9300,-392.7551868572831
9400,-155.39340540915728
9500,-518.2847974315285
9600,-459.76027058586476
9700,-635.6750361070037
9800,-322.8513065641746
9900,-181.61782616446726
10000,-541.9200633347034
10100,-223.77952620463913
10200,-428.4851465910673
10300,-274.623235873878
10400,-266.7505338617135
10500,-381.45720802471044
10600,-447.7875516641885
10700,-164.0252418331802
10800,-159.08634793758392
10900,-284.71904601976274
11000,-358.88298766091464
11100,-114.67381064086221
11200,-289.20695333108307
11300,-135.4303846188821
11400,-181.48185621723533
11500,-137.61396822072567
11600,-160.94693850167096
11700,-297.6956580709317
11800,-157.51175678167493
11900,-171.10890766028314
12000,-180.63954423600808
12100,-212.69066163204334
12200,-250.31888599667582
12300,-135.35335729240904
12400,-152.29971681432215
12500,-302.2216173893306
12600,-188.7451549271504
12700,-241.77802555429517
12800,-171.20635541391093
12900,-156.6766886756872
13000,-182.0032795304025
13100,-179.96899163760244
13200,-196.71939000685524
13300,-183.83587440564298
13400,-153.23845040900923
13500,-138.92241377157478
13600,-216.1703491766413
13700,-107.82214618392754
13800,-172.8800357024651
13900,-173.32401993982495
14000,-137.37788107621017
14100,-111.09525841434952
14200,-246.45991685141342
14300,-165.5521902004024
14400,-136.28789960872382
14500,-118.12415229291655
14600,-133.61108796230982
14700,-130.15406260066666
14800,-90.40257671336876
14900,-289.2964661251288
15000,-182.34686420047655
15100,-183.43993283787276
15200,-199.53181745917536
15300,-111.29045081213117
15400,-174.17430974133313
15500,-157.35045927474275
15600,-218.6549940957906
15700,-110.31670359908603
