timesteps,rewards
100,-500.0
200,-500.0
300,-500.0
400,-500.0
500,-500.0
600,-500.0
700,-500.0
800,-500.0
900,-500.0
1000,-500.0
1100,-500.0
1200,-500.0
1300,-500.0
1400,-500.0
1500,-500.0
1600,-500.0
1700,-500.0
1800,-500.0
1900,-500.0
2000,-500.0
2100,-429.4
2200,-500.0
2300,-500.0
2400,-500.0
2500,-432.6
2600,-444.8
2700,-500.0
2800,-454.2
2900,-500.0
3000,-426.0
3100,-500.0
3200,-500.0
3300,-438.8
3400,-426.0
3500,-500.0
3600,-500.0
3700,-432.8
3800,-500.0
3900,-500.0
4000,-500.0
4100,-161.2
4200,-85.6
4300,-95.8
4400,-85.0
4500,-91.0
4600,-86.4
4700,-108.4
4800,-87.8
4900,-97.8
5000,-174.6
5100,-115.0
5200,-82.4
5300,-79.8
5400,-88.4
5500,-99.0
5600,-89.0
5700,-169.4
5800,-104.8
5900,-171.0
6000,-82.0
6100,-171.4
6200,-247.2
6300,-104.4
6400,-170.4
6500,-87.6
6600,-85.0
6700,-184.8
6800,-105.8
6900,-110.0
7000,-94.4
7100,-81.2
7200,-84.4
7300,-85.6
7400,-75.2
7500,-160.8
7600,-76.4
7700,-84.8
7800,-87.8
7900,-110.2
8000,-82.0
8100,-84.2
8200,-175.0
8300,-86.8
8400,-172.6
8500,-78.4
8600,-95.4
8700,-118.2
8800,-134.2
8900,-90.6
9000,-174.8
9100,-366.6
9200,-177.4
9300,-99.6
9400,-333.6
9500,-84.6
9600,-85.6
9700,-96.2
9800,-80.2
9900,-172.8
10000,-335.0
10100,-84.6
10200,-186.8
10300,-500.0
10400,-500.0
10500,-500.0
10600,-417.4
10700,-500.0
10800,-500.0
10900,-500.0
11000,-500.0
11100,-422.0
11200,-500.0
11300,-500.0
11400,-500.0
11500,-500.0
11600,-414.6
11700,-500.0
11800,-500.0
11900,-500.0
12000,-500.0
12100,-500.0
12200,-500.0
12300,-338.2
12400,-419.2
12500,-417.4
12600,-500.0
12700,-500.0
12800,-500.0
12900,-500.0
13000,-419.2
13100,-500.0
13200,-500.0
13300,-500.0
13400,-500.0
13500,-420.6
13600,-500.0
13700,-414.6
13800,-500.0
13900,-419.4
14000,-417.2
14100,-500.0
14200,-417.6
14300,-418.8
14400,-413.0
14500,-500.0
14600,-500.0
14700,-416.2
14800,-413.0
14900,-335.0
15000,-335.0
15100,-500.0
15200,-331.8
15300,-337.6
15400,-336.6
15500,-500.0
15600,-329.2
15700,-500.0
15800,-266.8
15900,-333.4
16000,-500.0
16100,-500.0
16200,-419.2
16300,-330.8
16400,-167.2
16500,-250.6
16600,-373.8
16700,-89.8
16800,-341.8
16900,-251.0
17000,-258.4
17100,-416.6
17200,-418.2
17300,-165.6
17400,-219.8
17500,-183.6
17600,-418.6
17700,-327.8
17800,-340.2
17900,-168.0
18000,-249.8
18100,-125.2
18200,-267.2
18300,-266.6
18400,-327.6
18500,-415.2
18600,-500.0
18700,-336.6
18800,-418.6
18900,-500.0
19000,-415.2
19100,-500.0
19200,-416.8
19300,-419.0
19400,-500.0
19500,-418.8
19600,-500.0
19700,-421.8
19800,-421.8
19900,-500.0
20000,-500.0
20100,-418.0
20200,-415.0
20300,-418.4
20400,-356.2
20500,-417.8
20600,-246.0
20700,-245.0
20800,-332.4
20900,-334.2
21000,-380.4
21100,-345.0
