timesteps,rewards
1073,-1072.0
1941,-867.0
2975,-1033.0
4189,-1213.0
8052,-3862.0
10223,-2170.0
10627,-403.0
11030,-402.0
12109,-1078.0
13237,-1127.0
13913,-675.0
14541,-627.0
15323,-781.0
16888,-1564.0
17697,-808.0
18845,-1147.0
19864,-1018.0
20587,-722.0
21184,-596.0
22102,-917.0
22564,-461.0
23124,-559.0
23662,-537.0
24223,-560.0
24627,-403.0
25257,-629.0
25554,-296.0
25935,-380.0
26632,-696.0
26947,-314.0
27283,-335.0
27660,-376.0
28262,-601.0
28626,-363.0
29118,-491.0
29667,-548.0
29919,-251.0
30351,-431.0
30730,-378.0
31271,-540.0
31681,-409.0
32014,-332.0
32373,-358.0
32787,-413.0
33261,-473.0
33508,-246.0
33885,-376.0
34178,-292.0
34492,-313.0
35055,-562.0
35362,-306.0
35693,-330.0
36021,-327.0
36330,-308.0
36654,-323.0
37030,-375.0
37379,-348.0
37784,-404.0
38050,-265.0
38313,-262.0
38763,-449.0
39217,-453.0
39498,-280.0
39815,-316.0
40150,-334.0
40419,-268.0
40629,-209.0
40870,-240.0
41354,-483.0
41858,-503.0
42210,-351.0
42531,-320.0
42952,-420.0
43318,-365.0
43711,-392.0
43970,-258.0
44310,-339.0
44561,-250.0
45374,-812.0
45704,-329.0
46149,-444.0
46507,-357.0
46786,-278.0
47236,-449.0
47983,-746.0
48392,-408.0
48746,-353.0
49190,-443.0
49580,-389.0
50000,-420.0
